Mês/Ano;Estado;Qtd
dez/10;TO;21
jan/11;TO;26
fev/11;TO;25
mar/11;TO;20
abr/11;TO;16
mai/11;TO;30
jun/11;TO;21
jul/11;TO;16
ago/11;TO;15
set/11;TO;46
out/11;TO;27
nov/11;TO;20
dez/11;TO;18
jan/12;TO;12
fev/12;TO;19
mar/12;TO;23
abr/12;TO;13
mai/12;TO;30
jun/12;TO;20
jul/12;TO;25
ago/12;TO;26
set/12;TO;31
out/12;TO;31
nov/12;TO;19
dez/12;TO;10
jan/13;TO;21
fev/13;TO;20
mar/13;TO;21
abr/13;TO;32
mai/13;TO;31
jun/13;TO;31
jul/13;TO;28
ago/13;TO;41
set/13;TO;43
out/13;TO;36
nov/13;TO;37
dez/13;TO;25
jan/14;TO;38
fev/14;TO;26
mar/14;TO;32
abr/14;TO;34
mai/14;TO;35
jun/14;TO;44
jul/14;TO;21
ago/14;TO;46
set/14;TO;39
out/14;TO;44
nov/14;TO;37
dez/14;TO;27
jan/15;TO;35
fev/15;TO;48
mar/15;TO;37
abr/15;TO;28
mai/15;TO;20
jun/15;TO;27
jul/15;TO;31
ago/15;TO;38
set/15;TO;40
out/15;TO;35
nov/15;TO;38
dez/15;TO;34
jan/16;TO;28
fev/16;TO;34
mar/16;TO;46
abr/16;TO;28
mai/16;TO;27
jun/16;TO;27
jul/16;TO;38
ago/16;TO;47
set/16;TO;44
out/16;TO;50
nov/16;TO;31
dez/16;TO;47
jan/17;TO;42
fev/17;TO;30
mar/17;TO;30
abr/17;TO;43
mai/17;TO;51
jun/17;TO;46
jul/17;TO;49
ago/17;TO;46
set/17;TO;70
out/17;TO;62
nov/17;TO;68
dez/17;TO;39
jan/18;TO;51
fev/18;TO;48
mar/18;TO;56
abr/18;TO;63
mai/18;TO;82
jun/18;TO;66
jul/18;TO;57
ago/18;TO;73
set/18;TO;98
out/18;TO;83
nov/18;TO;92
dez/18;TO;71
jan/19;TO;51
fev/19;TO;72
mar/19;TO;83
abr/19;TO;62
mai/19;TO;76
jun/19;TO;61
jul/19;TO;77
ago/19;TO;112
set/19;TO;114
out/19;TO;105
nov/19;TO;97
dez/19;TO;81
jan/20;TO;80
fev/20;TO;90
mar/20;TO;81
abr/20;TO;53
mai/20;TO;2
jun/20;TO;0
jul/20;TO;0
ago/20;TO;1
set/20;TO;0
out/20;TO;0
nov/20;TO;0
dez/20;TO;5
jan/07;MA;0
fev/07;MA;0
mar/07;MA;0
abr/07;MA;0
mai/07;MA;1
jun/07;MA;1
jul/07;MA;2
ago/07;MA;2
set/07;MA;2
out/07;MA;2
nov/07;MA;0
dez/07;MA;0
jan/08;MA;0
fev/08;MA;0
mar/08;MA;1
abr/08;MA;0
mai/08;MA;2
jun/08;MA;3
jul/08;MA;0
ago/08;MA;2
set/08;MA;1
out/08;MA;0
nov/08;MA;0
dez/08;MA;0
jan/09;MA;1
fev/09;MA;1
mar/09;MA;1
abr/09;MA;0
mai/09;MA;0
jun/09;MA;2
jul/09;MA;3
ago/09;MA;6
set/09;MA;1
out/09;MA;3
nov/09;MA;5
dez/09;MA;2
jan/10;MA;3
fev/10;MA;2
mar/10;MA;3
abr/10;MA;2
mai/10;MA;2
jun/10;MA;1
jul/10;MA;4
ago/10;MA;3
set/10;MA;3
out/10;MA;5
nov/10;MA;8
dez/10;MA;3
jan/11;MA;9
fev/11;MA;2
mar/11;MA;5
abr/11;MA;1
mai/11;MA;7
jun/11;MA;3
jul/11;MA;4
ago/11;MA;8
set/11;MA;5
out/11;MA;8
nov/11;MA;8
dez/11;MA;4
jan/12;MA;6
fev/12;MA;4
mar/12;MA;7
abr/12;MA;12
mai/12;MA;10
jun/12;MA;8
jul/12;MA;9
ago/12;MA;12
set/12;MA;5
out/12;MA;5
nov/12;MA;7
dez/12;MA;5
jan/13;MA;6
fev/13;MA;10
mar/13;MA;4
abr/13;MA;6
mai/13;MA;5
jun/13;MA;7
jul/13;MA;6
ago/13;MA;12
set/13;MA;10
out/13;MA;15
